id,title,description,status,value_amount,value_currency,main_ocid,main_id
24644,DNA Economics,EME,active,0.0,ZAR,ocds-9t57fa-65787,ocds-9t57fa-65787-2023-09-01T00:00:00Z
28281, (HAMSA CONSULTING ENGINEERS),EME,active,285717500.0,ZAR,ocds-9t57fa-65822,ocds-9t57fa-65822-2023-09-01T00:00:00Z
24573,RUWACON,EME,active,52881668.0,ZAR,ocds-9t57fa-66309,ocds-9t57fa-66309-2023-09-08T00:00:00Z
26294, (LEFHUMO LWA BAREMA TRADING ENTERPRISE),EME,active,6122642.0,ZAR,ocds-9t57fa-66388,ocds-9t57fa-66388-2023-09-08T00:00:00Z
19695,FIVE STAR TRADING ENTERPRISE,EME,active,0,ZAR,ocds-9t57fa-66401,ocds-9t57fa-66401-2023-09-08T00:00:00Z
36800, (OMARI CHEMICALS),QSE,active,4441600.0,ZAR,ocds-9t57fa-66405,ocds-9t57fa-66405-2023-09-08T00:00:00Z
23346,OMARI CHEMICALS,QSE,active,0,ZAR,ocds-9t57fa-66405,ocds-9t57fa-66405-2023-09-08T00:00:00Z
18247,DENZHELASHU TRADING AND PROJECTS,EME,active,749420.0,ZAR,ocds-9t57fa-66488,ocds-9t57fa-66488-2023-09-08T00:00:00Z
26398, (MANUT SERVICES),EME,active,3905479.0,ZAR,ocds-9t57fa-66602,ocds-9t57fa-66602-2023-09-08T00:00:00Z
57257,ACTOM,LME,active,0.0,ZAR,ocds-9t57fa-66610,ocds-9t57fa-66610-2023-09-08T00:00:00Z
46497, CITIES LANDSCAPING AND PROJECTS,QSE,active,10.0,ZAR,ocds-9t57fa-66619,ocds-9t57fa-66619-2023-09-08T00:00:00Z
46499, CARONY BUSINESS CONSULTANTS 07,EME,active,10.0,ZAR,ocds-9t57fa-66619,ocds-9t57fa-66619-2023-09-08T00:00:00Z
22079,Idube electrical ,GEN,active,180000.0,ZAR,ocds-9t57fa-67144,ocds-9t57fa-67144-2023-09-14T00:00:00Z
23923,NAIDU CONSULTING,QSE,active,21761416.0,ZAR,ocds-9t57fa-67372,ocds-9t57fa-67372-2023-09-15T00:00:00Z
27933, (DOCUMENT WAREHOUSE COASTAL),EME,active,2620135.0,ZAR,ocds-9t57fa-67436,ocds-9t57fa-67436-2023-09-15T00:00:00Z
