id,name,main_ocid,main_id,awards_id
0,Boiler and Industrial Plant,ocds-9t57fa-32011,ocds-9t57fa-32011-2022-09-03T00:00:00Z,7867
0,Nomnga Properties,ocds-9t57fa-32608,ocds-9t57fa-32608-2022-09-09T00:00:00Z,7826
0,ROADMAC SURFACING CAPE,ocds-9t57fa-32635,ocds-9t57fa-32635-2022-09-09T00:00:00Z,14569
0,MOTHEO CONSTRUCTION GROUP,ocds-9t57fa-32657,ocds-9t57fa-32657-2022-09-09T00:00:00Z,9727
0,Clean Dot Waste,ocds-9t57fa-32785,ocds-9t57fa-32785-2022-09-10T00:00:00Z,11214
0,Bantsi Construction and Projects,ocds-9t57fa-33686,ocds-9t57fa-33686-2022-09-16T00:00:00Z,10168
0,ILILUTHO BUSINESS ,ocds-9t57fa-34263,ocds-9t57fa-34263-2022-09-23T00:00:00Z,10322
0,CIVIL ELEMENT,ocds-9t57fa-34413,ocds-9t57fa-34413-2022-09-23T00:00:00Z,9966
0,NEC XON SYSTEMS,ocds-9t57fa-34441,ocds-9t57fa-34441-2022-09-23T00:00:00Z,16311
0,ROY STEELE AND ASSOCIATES,ocds-9t57fa-34480,ocds-9t57fa-34480-2022-09-23T00:00:00Z,5757
0,MADIBUSENG GENERAL TRADING,ocds-9t57fa-35113,ocds-9t57fa-35113-2022-09-30T00:00:00Z,8029
380021, (BASE MAJOR CONSTRUCTION),ocds-9t57fa-35369,ocds-9t57fa-35369-2022-10-01T00:00:00Z,28224
0,Velepa Trading,ocds-9t57fa-36186,ocds-9t57fa-36186-2022-10-14T00:00:00Z,9787
0,SOUTH AFRICAN LOCAL GOVERNMENT ASSOCIATION,ocds-9t57fa-36566,ocds-9t57fa-36566-2022-10-13T00:00:00Z,12334
0,FREEFALL TRADING 1071,ocds-9t57fa-37394,ocds-9t57fa-37394-2022-08-27T00:00:00Z,5345
0,TECHNO ZONE TRADING 8,ocds-9t57fa-37569,ocds-9t57fa-37569-2022-10-21T00:00:00Z,12382
0,Nkomishana Trading and Projects ,ocds-9t57fa-37999,ocds-9t57fa-37999-2022-10-28T00:00:00Z,11361
0,BUSINESS CONNEXION,ocds-9t57fa-38351,ocds-9t57fa-38351-2022-10-28T00:00:00Z,13032
0,AMANYANDZENI,ocds-9t57fa-38403,ocds-9t57fa-38403-2022-10-28T00:00:00Z,19158
0,D T Mlangeni Projects ,ocds-9t57fa-38431,ocds-9t57fa-38431-2022-10-28T00:00:00Z,8642
0,ENTERPRISES UNIVERSITY OF PRETORIA,ocds-9t57fa-38427,ocds-9t57fa-38427-2022-10-28T00:00:00Z,9530
0,BRANDSWELL,ocds-9t57fa-39574,ocds-9t57fa-39574-2022-11-04T00:00:00Z,5822
0,ACCURATE STRUCTURES,ocds-9t57fa-40405,ocds-9t57fa-40405-2022-11-18T00:00:00Z,17402
0,WASTE-MART,ocds-9t57fa-41026,ocds-9t57fa-41026-2022-11-19T00:00:00Z,13715
0,REAGOLA CONSULTING,ocds-9t57fa-41181,ocds-9t57fa-41181-2022-11-18T00:00:00Z,10885
0,Defensor Electronic Security Systems ,ocds-9t57fa-41193,ocds-9t57fa-41193-2022-11-19T00:00:00Z,15739
0,POWERCOMM SOLUTIONS,ocds-9t57fa-41899,ocds-9t57fa-41899-2022-11-25T00:00:00Z,13405
0,Continuous Oxygen Suppliers ,ocds-9t57fa-43197,ocds-9t57fa-43197-2022-12-09T00:00:00Z,12619
0,VUKAMA TRADING PTY LTD ,ocds-9t57fa-43211,ocds-9t57fa-43211-2022-12-09T00:00:00Z,12219
0,Odwa and Solie Trading Enterprise,ocds-9t57fa-43652,ocds-9t57fa-43652-2022-12-15T00:00:00Z,10648
0,GILBERT AND I PROJECTS,ocds-9t57fa-45143,ocds-9t57fa-45143-2022-06-23T00:00:00Z,7370
0,Home Affairs - Government Printing Works,ocds-9t57fa-50906,ocds-9t57fa-50906-2022-09-17T00:00:00Z,9958
0,ARIESLOPIO TRADING,ocds-9t57fa-52652,ocds-9t57fa-52652-2022-01-21T00:00:00Z,10993
0,ZABCOR,ocds-9t57fa-41308,ocds-9t57fa-41308-2022-11-25T00:00:00Z,13211
0,FIRSTRAND BANK,ocds-9t57fa-18563,ocds-9t57fa-18563-2022-02-24T00:00:00Z,2864
0,WILLVEST TWENTY THREE,ocds-9t57fa-43720,ocds-9t57fa-43720-2022-12-15T00:00:00Z,10831
0,Mamello Clinical Solutions,ocds-9t57fa-43837,ocds-9t57fa-43837-2022-12-15T00:00:00Z,9759
0,TOPLINE RESEARCH SOLUTIONS,ocds-9t57fa-14485,ocds-9t57fa-14485-2022-01-07T00:00:00Z,2179
0,IKHONO TECHNI,ocds-9t57fa-14583,ocds-9t57fa-14583-2022-01-14T00:00:00Z,3728
0,INFOVERGE SOLUTIONS,ocds-9t57fa-14725,ocds-9t57fa-14725-2022-01-14T00:00:00Z,3464
0,TRACKOS PROJECTS,ocds-9t57fa-15299,ocds-9t57fa-15299-2022-01-21T00:00:00Z,3456
153845,BLUECOLLAR OCCUPATIONAL HEALTH,ocds-9t57fa-15326,ocds-9t57fa-15326-2022-01-21T00:00:00Z,57908
0,VOX Telecommunications,ocds-9t57fa-15376,ocds-9t57fa-15376-2022-01-21T00:00:00Z,14157
0,Tecmed,ocds-9t57fa-15387,ocds-9t57fa-15387-2022-01-21T00:00:00Z,2770
0,CFAO MOTORS ,ocds-9t57fa-15394,ocds-9t57fa-15394-2022-01-21T00:00:00Z,1431
0,CORNFIELD CONSTRUCTION 2004,ocds-9t57fa-15403,ocds-9t57fa-15403-2022-01-21T00:00:00Z,9147
0,CBZ SOLUTIONS,ocds-9t57fa-15776,ocds-9t57fa-15776-2022-01-27T00:00:00Z,3080
0,SP PRACTICE CONSULTING SERVICES,ocds-9t57fa-15941,ocds-9t57fa-15941-2022-01-28T00:00:00Z,5715
0,KLARIB BUSINESS SOLUTIONS,ocds-9t57fa-15941,ocds-9t57fa-15941-2022-01-28T00:00:00Z,5719
0,FARANANI IT SERVICES,ocds-9t57fa-16457,ocds-9t57fa-16457-2022-02-11T00:00:00Z,2123
0,INVEST IN AFRICA SERVICES,ocds-9t57fa-16697,ocds-9t57fa-16697-2022-02-04T00:00:00Z,8736
0,Xiquel Group,ocds-9t57fa-17197,ocds-9t57fa-17197-2022-02-11T00:00:00Z,4195
0,HAMISA SAFETY EQUIPMENT SUPPLIES,ocds-9t57fa-17343,ocds-9t57fa-17343-2022-02-11T00:00:00Z,4838
